Date,Open,High,Low,Close,Volume
1998-12-22,9.303356,9.360785,9.303356,9.360785,7400
1998-12-23,9.372271,9.464156,9.360785,9.400986,24000
1998-12-24,9.533070,9.573271,9.487128,9.573271,3200
1998-12-28,9.527331,9.533073,9.487130,9.487130,17200
1998-12-29,9.515838,9.693865,9.515838,9.693865,2200
1998-12-30,9.688124,9.705352,9.613467,9.613467,63400
1998-12-31,9.613467,9.647924,9.601981,9.601981,64800
1999-01-04,9.613472,9.751300,9.521587,9.544559,10400
1999-01-05,9.601984,9.705355,9.601984,9.705355,2600
1999-01-06,9.820214,9.981012,9.820214,9.981012,16200
1999-01-07,9.935066,10.038436,9.923580,9.969522,27400
1999-01-08,10.026955,10.072897,9.963785,9.981012,37200
1999-01-11,10.015468,10.026953,9.848927,9.929326,126200
1999-01-12,9.780012,9.808725,9.659412,9.670897,6600
1999-01-13,9.441187,9.716842,9.441187,9.716842,6800
1999-01-14,9.624957,9.670900,9.452673,9.498615,73200
1999-01-15,9.624954,9.630698,9.573270,9.619212,69600
1999-01-19,9.728323,9.768524,9.613467,9.613467,8200
1999-01-20,9.751297,9.866153,9.711098,9.774268,7000
1999-01-21,9.751302,9.762788,9.659417,9.682388,63000
1999-01-22,9.533066,9.757036,9.510094,9.728321,24600
1999-01-25,9.682383,9.728326,9.636441,9.705355,16200
1999-01-26,9.762784,9.935068,9.734070,9.935068,7400
1999-01-27,9.946549,9.969520,9.923577,9.923577,3800
1999-01-28,9.946556,10.026956,9.946556,10.026956,8600
1999-01-29,10.061410,10.130324,9.992497,10.095867,13600
1999-02-01,10.141808,10.147551,10.084380,10.118836,12200
1999-02-02,10.038434,10.038434,9.900607,9.992492,41800
1999-02-03,9.969523,10.164778,9.958037,10.153293,46200
1999-02-04,10.216467,10.227953,10.084382,10.095867,39000
1999-02-05,9.992495,10.055666,9.843182,9.843182,11600
1999-02-08,9.929323,10.003979,9.802981,10.003979,16400
1999-02-09,9.877635,9.889120,9.693865,9.693865,18800
1999-02-10,9.682379,9.751293,9.636437,9.693865,18400
1999-02-11,9.751296,10.021209,9.722583,10.009724,24400
1999-02-12,9.877638,9.889124,9.768525,9.831696,11600
1999-02-16,9.917840,10.015467,9.912097,9.958039,18600
1999-02-17,9.981005,10.124576,9.923577,9.923577,29400
1999-02-18,9.923583,9.935068,9.837441,9.935068,7000
1999-02-19,9.946547,9.986748,9.917834,9.986748,1800
1999-02-22,10.015470,10.239441,10.015470,10.239441,28000
1999-02-23,10.245179,10.256665,10.107351,10.187751,13600
1999-02-24,10.256662,10.325575,10.061406,10.061406,18000
1999-02-25,10.038430,10.049915,9.797232,9.946545,38200
1999-02-26,9.935065,10.072893,9.935065,10.032694,17000
1999-03-01,10.003977,10.038434,9.946549,10.038434,17200
1999-03-02,10.061406,10.182006,10.061406,10.061406,36200
