Date,Open,High,Low,Close,Volume
1998-12-22,5.683920,5.696741,5.675372,5.696741,3800
1998-12-23,5.735204,5.782214,5.735204,5.756573,1400
1998-12-24,5.824948,5.889052,5.799306,5.889052,3000
1998-12-28,5.880507,5.880507,5.829223,5.837770,5000
1998-12-29,5.944613,5.944613,5.944613,5.944613,200
1998-12-30,5.940337,5.940337,5.927516,5.927516,1600
1998-12-31,5.978800,6.017263,5.978800,5.995895,6600
1999-01-04,6.000166,6.085639,5.923241,5.923241,26000
1999-01-05,5.978799,6.098460,5.978799,6.068544,8800
1999-01-06,6.107010,6.175388,6.077094,6.175388,25800
1999-01-07,6.145471,6.397616,6.107009,6.128377,172400
1999-01-08,6.183934,6.337784,6.183934,6.337784,50400
1999-01-11,6.342058,6.350605,6.290775,6.350605,28400
1999-01-12,6.295051,6.324966,6.175389,6.188210,10200
1999-01-13,6.004443,6.119831,6.004443,6.051453,11000
1999-01-14,6.068546,6.077093,5.897601,5.948884,254600
1999-01-15,6.017264,6.038632,5.987349,6.038632,31600
1999-01-19,6.017262,6.017262,5.884780,5.927516,53400
1999-01-20,5.927518,5.970254,5.901876,5.906149,81800
1999-01-21,5.906146,5.914694,5.850590,5.880505,119800
1999-01-22,5.820676,5.842044,5.756572,5.765119,14000
1999-01-25,5.824948,5.880505,5.803579,5.880505,58600
1999-01-26,5.859141,5.863414,5.795036,5.863414,3600
1999-01-27,5.970256,5.970256,5.816405,5.816405,30200
1999-01-28,5.850594,5.850594,5.743752,5.743752,13600
1999-01-29,5.730930,5.773666,5.730930,5.773666,800
1999-02-01,5.820676,5.880507,5.820676,5.820676,5800
1999-02-02,5.799310,5.846319,5.795036,5.824952,5600
1999-02-03,5.829223,5.850592,5.812129,5.829223,2200
1999-02-04,5.842044,6.021536,5.842044,6.000167,13600
1999-02-05,6.030085,6.136925,6.030085,6.081368,88800
1999-02-08,6.098463,6.115558,6.025811,6.051453,44600
1999-02-09,6.051454,6.051454,5.936067,5.936067,28400
1999-02-10,5.978800,5.978800,5.923243,5.948884,9800
1999-02-11,5.914694,5.970251,5.889052,5.889052,20200
1999-02-12,5.897603,5.914698,5.859141,5.859141,5000
1999-02-16,5.970255,5.970255,5.803583,5.803583,12600
1999-02-17,5.777941,5.859141,5.743752,5.743752,10200
1999-02-18,5.756573,5.795035,5.722384,5.786488,62000
1999-02-19,5.807855,5.842044,5.795034,5.833497,16200
1999-02-22,5.812127,5.948883,5.812127,5.931789,20000
1999-02-23,5.944609,5.948883,5.846316,5.880505,10600
1999-02-24,5.965981,5.965981,5.863414,5.863414,5600
1999-02-25,5.829225,5.863414,5.812131,5.863414,13600
1999-02-26,5.863414,5.863414,5.863414,5.863414,1400
1999-03-01,5.820675,5.824949,5.795033,5.795033,4200
1999-03-02,5.807857,5.863414,5.743752,5.743752,95400
1999-03-03,5.816407,5.816407,5.705293,5.705293,7800
1999-03-04,5.701012,5.777938,5.701012,5.722381,5800
1999-03-05,5.790762,5.914696,5.790762,5.914696,8400
1999-03-08,5.863412,5.953158,5.863412,5.953158,13400
1999-03-09,5.923244,5.923244,5.880508,5.901876,11200
1999-03-10,5.906150,6.008717,5.893330,5.983075,53600
1999-03-11,6.012992,6.077096,6.000170,6.047181,27800
1999-03-12,6.098464,6.115558,6.021538,6.021538,15800
1999-03-15,6.021537,6.059999,5.991621,6.034358,13400
1999-03-16,6.025813,6.042908,6.004446,6.008719,15000
1999-03-17,6.038630,6.038630,5.983073,5.991620,7000
1999-03-18,6.055725,6.119829,6.021536,6.119829,22600
1999-03-19,6.209022,6.209022,6.127550,6.127550,10600
1999-03-22,6.101823,6.166143,6.101823,6.144703,49800
1999-03-23,6.114684,6.114684,5.956029,5.990333,33400
1999-03-24,5.964605,6.037501,5.951741,5.994621,152000
1999-03-25,5.994622,6.071806,5.994622,6.016062,7600
1999-03-26,5.956032,6.011775,5.934591,5.968895,8400
1999-03-29,6.033214,6.097533,6.016062,6.067518,10600
1999-03-30,6.063230,6.063230,5.994622,6.054654,33000
1999-03-31,6.020351,6.050368,5.960319,5.968895,21200
1999-04-01,5.977472,6.084672,5.977472,6.037504,24600
1999-04-05,6.054654,6.153279,6.054654,6.110399,23800
1999-04-06,6.076096,6.110400,6.003199,6.003199,105600
1999-04-07,6.037501,6.088957,6.020349,6.067518,90400
1999-04-08,6.058941,6.153277,6.050365,6.153277,24000
1999-04-09,6.063227,6.161851,6.063227,6.123259,50200
1999-04-12,6.123260,6.316221,6.123260,6.303356,32400
